FechaSalida;FechaEntrada;Motivo;Ocupacion;Estadia;Gente;GastoTotal;GastoAlojamiento;GastoAlimentacion;GastoTransporteInternac;GatoTransporteLocal;GastoCultural;GastoTours;GastoCompras;GastoResto
8/1/2024;8/1/2024;Compras;Trabajador Independiente;1;2;38.32;0;0;0;0;0;0;38.32;0
8/1/2024;10/1/2024;Visita familiares / amigos;Trabajador dependiente;2;2;127.75;0;51.1;0;12.77;0;0;42.3;21.57
8/1/2024;16/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;8;2;1156.38;655.41;194.19;590.4;0;0;0;306.78;0
9/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;10;10;5000;1386.91;1289.25;1199.24;1394.56;333.71;0;595.57;0
9/1/2024;12/1/2024;Visita familiares / amigos;Desocupado;3;3;459.9;0;153.3;0;76.65;0;0;130.29;99.66
9/1/2024;12/1/2024;Visita familiares / amigos;Trabajador dependiente;3;2;408.8;0;127.75;0;81.76;0;0;199.29;0
9/1/2024;12/1/2024;Visita familiares / amigos;Jubilado, Pensionista;3;1;76.17;0;76.17;119.92;0;0;0;0;0
9/1/2024;13/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;4;4;1200;389.59;362.16;200;20;10;0;418.25;0
9/1/2024;11/1/2024;Ocio, Recreo, Vacaciones;Estudiante;2;3;600;118.06;109.75;0;118.71;0;0;253.49;0
9/1/2024;14/1/2024;Visita familiares / amigos;Trabajador Independiente;5;3;766.5;0;255.5;219.73;12.77;51.1;0;196.55;250.58
9/1/2024;12/1/2024;Visita familiares / amigos;Trabajador dependiente;3;1;350;0;96.64;119.92;104.54;0;0;148.82;0
9/1/2024;10/1/2024;Trabajo / Profesion;Trabajador Independiente;1;1;63.87;0;25.55;0;0;0;0;0;38.32
9/1/2024;23/1/2024;Ocio, Recreo, Vacaciones;Estudiante;14;5;3760.58;1612.69;1227.03;2431.23;397.98;0;0;522.88;0
9/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;10;2;1134.21;460.77;350.58;400;113.71;0;0;209.15;0
9/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;10;2;1143.2;502.76;296.41;660;37.24;0;0;306.78;0
9/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;10;2;1233.2;586.55;296.41;770;43.45;0;0;306.78;0
9/1/2024;10/1/2024;Compras;Trabajador dependiente;1;2;600;72.08;67;0;72.48;0;0;309.52;78.92
9/1/2024;12/1/2024;Trabajo / Profesion;Profesional dependiente;3;2;1200;480;549.56;0;40;0;0;0;130.44
9/1/2024;9/3/2024;Estudios;Estudiante;60;1;5000;0;1800;1160;500;199.99;0;739.34;1760.67
10/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;9;2;2539.73;500;457.03;0;494.37;150;0;400;538.33
10/1/2024;12/1/2024;Compras;Trabajador Independiente;2;2;1200;194.26;180.58;0;195.34;0;0;417.11;212.71
10/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;9;2;1500;600;153.39;0;165.92;200;0;200;180.68
10/1/2024;15/1/2024;Visita familiares / amigos;Jubilado, Pensionista;5;2;400;0;133.09;0;143.96;0;0;122.96;0
10/1/2024;12/1/2024;Visita familiares / amigos;Trabajador dependiente;2;2;255.5;0;76.65;0;51.1;0;0;84.6;43.14
10/1/2024;18/1/2024;Visita familiares / amigos;Jubilado, Pensionista;8;1;280;0;177.5;119.92;0;0;0;102.5;0
10/1/2024;11/1/2024;Trabajo / Profesion;Profesional dependiente;1;1;100;13.83;12.86;0;13.91;0;0;59.4;0
10/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;12;2;1886.31;800;500;0;136.45;150;0;200;99.86
10/1/2024;16/1/2024;Ocio, Recreo, Vacaciones;Jubilado, Pensionista;6;1;593.93;337.3;256.64;206.07;0;0;0;0;0
10/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Otros;12;3;2000;800;500;0;137.98;249.56;0;211.49;100.97
11/1/2024;14/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;3;4;1600;400;320;340;0;212.05;0;378.45;289.49
11/1/2024;16/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;5;3;1300;250;205.5;250;222.29;122.2;0;500;0
11/1/2024;18/1/2024;Visita familiares / amigos;Jubilado, Pensionista;7;1;400;0;240.97;119.92;0;0;0;159.03;0
11/1/2024;30/1/2024;Ocio, Recreo, Vacaciones;Estudiante;19;10;11000;5329.64;4055.11;3500;1315.25;0;0;300;0
11/1/2024;15/1/2024;Trabajo / Profesion;Trabajador Independiente;4;2;678.77;300;150;0;45.48;0;0;150;33.29
11/1/2024;18/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;7;2;3824.56;967.62;286.7;2074;71.68;0;0;2498.56;0
11/1/2024;16/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;5;2;1560.15;353.03;328.17;239.85;354.98;169.89;50.87;303.2;0
11/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;8;3;2400;1131.8;861.14;0;279.31;0;0;127.75;0
12/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;7;4;2000;584.58;444.78;0;144.26;447.3;0;379.07;0
12/1/2024;16/1/2024;Visita familiares / amigos;Profesional dependiente;4;4;600;0;600;725.15;0;0;0;0;0
12/1/2024;16/1/2024;Trabajo / Profesion;Profesional dependiente;4;1;550;119.25;110.85;181.29;119.9;0;0;200;0
12/1/2024;15/1/2024;Visita familiares / amigos;Jubilado, Pensionista;3;3;827.58;0;228.52;0;247.18;0;0;351.88;0
12/1/2024;17/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;5;4;1100;257.3;239.18;0;258.72;123.82;0;220.98;0
12/1/2024;15/1/2024;Compras;Trabajador dependiente;3;2;500;0;138.06;0;149.34;0;0;212.6;0
12/1/2024;19/1/2024;Visita familiares / amigos;Jubilado, Pensionista;7;2;380;0;138.6;0;149.93;0;0;91.47;0
12/1/2024;15/1/2024;Visita familiares / amigos;Jubilado, Pensionista;3;2;300;0;82.84;0;89.6;0;0;127.56;0
12/1/2024;19/1/2024;Visita familiares / amigos;Profesional independiente;7;2;800;0;200;0;47.87;100;0;400;52.13
12/1/2024;14/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;2;2;865.52;170;100;130;109.86;131.44;0;234.59;119.63
12/1/2024;16/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;4;4;1300;281.98;262.13;479.7;283.54;169.62;0;302.73;0
12/1/2024;20/1/2024;Visita familiares / amigos;Estudiante;8;1;200;0;126.79;0;0;0;0;73.21;0
12/1/2024;19/1/2024;Visita familiares / amigos;Trabajador dependiente;7;1;183.31;0;110.43;0;0;0;0;72.88;0
12/1/2024;26/1/2024;Ocio, Recreo, Vacaciones;Estudiante;14;9;6210;1800;1350;1440;1260;900;0;900;0
12/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;7;4;2000;524.79;399.29;0;129.51;401.56;204.55;340.3;0
12/1/2024;17/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;5;6;1800;674.49;513.19;0;0;0;0;612.32;0
12/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;7;2;1277.5;623.59;474.47;0;153.89;0;0;25.55;0
12/1/2024;19/1/2024;Visita familiares / amigos;Trabajador dependiente;7;3;800;0;251.39;0;81.54;252.82;0;214.25;0
12/1/2024;22/1/2024;Trabajo / Profesion;Profesional dependiente;10;1;2500;1288.01;1211.99;0;0;0;0;0;0
12/1/2024;1/2/2024;Visita familiares / amigos;Jubilado, Pensionista;20;2;5839.13;0;2427.5;3906.54;1184.31;454.79;91.24;1681.29;0
13/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;6;3;2279.86;450;300;0;494.37;197.16;0;300;538.33
